column_a,column_b,column_c,column_d,column_e,column_f,label
-2,2,20,5,-6,-1,4
-2,1,20,5,-6,0,4
-2,1,23,5,-6,0,4
-2,2,20,5,-6,-1,4
-3,1,22,5,-6,-1,4
-2,2,20,5,-6,-1,4
-2,2,20,5,-6,-1,4
-3,3,20,5,-6,-1,4
-2,1,13,7,-3,-1,4
-3,1,4,3,-7,0,4
-1,0,13,4,-5,-1,4
-4,3,15,2,-11,-1,4
-1,2,29,7,-6,-1,4
1,-1,23,9,2,0,4
-2,2,29,3,-6,0,4
-3,2,22,5,-8,0,4
-2,2,19,5,-7,0,4
-3,2,23,5,-7,0,4
-2,2,22,5,-6,-1,4
-2,2,20,5,-6,-1,4
-2,2,23,5,-7,-1,4
-2,2,20,5,-7,-1,4
-2,2,22,4,-7,-1,4
0,1,23,8,-4,0,4
3,0,28,6,1,-1,4
0,2,18,7,-5,-1,4
-2,3,20,2,-7,0,4
-4,3,22,4,-11,-1,4
-2,2,6,5,-8,-1,4
-3,3,24,4,-8,-1,4
-2,2,20,5,-6,-1,4
-2,2,19,5,-7,0,4
-2,2,20,5,-6,-1,4
-2,2,20,5,-6,-1,4
-2,2,22,4,-7,-1,4
-2,2,22,4,-7,-1,4
-2,2,22,5,-6,-1,4
-2,2,22,5,-5,-1,4
-2,2,24,2,-6,0,4
0,0,22,4,-3,-1,4
-2,1,31,2,-6,-1,4
-3,2,23,4,-8,-2,4
-2,1,29,7,-5,-2,4
-2,2,41,4,-5,-2,4
-3,1,3,5,-6,0,4
-2,2,20,5,-6,-1,4
-3,1,18,4,-6,0,4
-2,2,20,5,-6,-1,4
-2,2,20,5,-6,-1,4
-2,1,20,5,-6,0,4
-3,1,20,5,-6,-1,4
-2,2,20,3,-6,-1,4
-2,2,20,5,-6,-1,4
-3,1,9,7,-8,0,4
-4,2,11,3,-7,-1,4
-6,3,23,-2,-11,0,4
-3,0,18,7,-10,0,4
-4,0,17,4,-9,-1,4
-4,0,32,4,-10,-1,4
-2,1,30,5,-5,-1,4
-2,2,20,4,-7,-1,4
-2,1,19,5,-7,0,4
-2,1,22,5,-6,0,4
-2,1,20,5,-6,0,4
-2,2,22,4,-7,-1,4
-2,2,20,5,-6,-1,4
-2,2,20,5,-7,-1,4
-2,1,19,5,-7,0,4
0,0,16,4,-1,0,4
-3,2,20,3,-6,0,4
-1,0,25,4,-6,-1,4
-2,1,28,5,-4,0,4
-2,4,12,-1,-8,-1,4
-3,0,4,6,-8,0,4
-5,4,38,-1,-16,-1,4
-2,1,19,4,-6,0,4
-2,1,19,4,-6,0,4
-2,2,20,4,-5,-1,4
-2,2,20,4,-5,-1,4
-2,1,20,3,-6,0,4
-2,1,21,4,-5,0,4
-2,1,19,4,-6,0,4
-2,2,19,4,-6,-1,4
-4,3,19,0,-10,0,4
-2,1,6,3,-6,0,4
-2,1,18,5,-4,-1,4
-2,0,20,4,-3,-2,4
-3,3,32,2,-6,-1,4
-2,1,14,3,-4,0,4
0,0,23,6,-3,-1,4
-1,1,19,4,-6,0,4
-2,2,18,4,-6,0,4
-2,1,19,4,-6,0,4
-2,1,19,4,-6,0,4
-2,1,19,4,-6,0,4
-2,1,19,4,-6,0,4
-2,1,21,5,-6,0,4
-1,2,21,3,-6,1,4
0,1,14,1,-3,0,4
-6,5,11,-4,-12,0,4
-4,1,4,5,-6,0,4
0,0,2,8,-5,0,4
0,1,36,3,-1,-1,4
0,1,14,5,-3,1,4
1,0,24,11,-2,0,4
-2,1,19,4,-6,0,4
-2,1,18,3,-5,0,4
-2,1,19,3,-5,0,4
-2,1,19,3,-5,0,4
-2,1,23,3,-5,0,4
-2,1,21,4,-5,0,4
-2,1,19,4,-6,0,4
-1,2,21,4,-5,1,4
-3,2,3,-2,-8,2,4
0,0,24,6,-4,0,4
-2,1,16,4,-3,0,4
-5,4,26,-1,-6,1,4
-3,1,19,4,-6,0,4
-2,0,33,6,-6,0,4
-2,1,16,5,-9,0,4
-1,2,21,3,-6,1,4
-1,2,17,3,-6,0,4
-1,2,21,3,-6,1,4
-1,2,19,4,-6,1,4
-1,2,19,4,-6,1,4
-1,2,21,3,-6,1,4
-1,2,19,4,-6,1,4
-1,2,19,4,-6,1,4
-4,4,12,1,-11,0,4
-2,2,21,2,-7,0,4
1,0,29,7,-1,0,4
-1,2,17,3,-5,0,4
2,0,32,6,-1,0,4
0,3,17,2,-10,1,4
2,0,17,8,-1,0,4
0,1,15,3,-3,0,4
-2,1,32,3,-7,0,4
-1,2,4,-1,-7,0,4
-1,1,6,5,-6,0,4
2,0,17,3,-4,0,4
2,0,28,3,-3,-1,4
2,1,24,1,-4,0,4
0,1,17,3,-4,1,4
-1,2,18,-2,-6,0,4
0,0,16,1,-6,-1,4
-1,2,11,-1,-8,0,4
0,0,18,1,-5,-1,4
0,0,11,2,-8,0,4
-1,0,-1,3,-4,0,4
1,0,25,0,-3,-2,4
-1,2,4,-1,-7,0,4
-1,1,6,5,-6,0,4
2,0,17,3,-4,0,4
2,0,28,3,-3,-1,4
2,1,24,1,-4,0,4
0,1,17,3,-4,1,4
-1,2,18,-2,-6,0,4
0,0,16,1,-6,-1,4
-1,2,11,-1,-8,0,4
0,0,18,1,-5,-1,4
0,0,11,2,-8,0,4
-1,0,-1,3,-4,0,4
1,0,25,0,-3,-2,4
0,0,22,2,-6,0,4
1,0,17,2,-4,0,4
2,0,17,3,-4,0,4
2,0,28,3,-3,-1,4
2,1,24,1,-4,0,4
0,1,17,3,-4,1,4
-1,2,18,-2,-6,0,4
0,0,16,1,-6,-1,4
